attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,1,11,0,,,,,,,,,,,,,,,5s,182.23442130407784,183.23592139803804,183.2278013949981,None,184.2272834040923,187.9024994970532,184.2272834040923,187.9024994970532,187.89458999200724,None,187.89458999200724,None,space,187.89458999200724,None,3.6693,188.27765728801023,None,0.2522066899109632,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,1,2,12,7,,,,,,,,,,,,,,,5s,189.3366028009914,190.33651769009884,190.3275618290063,None,191.32817758608144,191.90275966306217,191.32817758608144,191.90275966306217,191.89475896698423,None,191.89475896698423,None,space,191.89475896698423,None,0.5714,192.4612641329877,None,0.43604632990900427,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,3,13,1,,,,,,,,,,,,,,,5s,193.5177554260008,194.51943381002638,194.51155248307623,None,195.51114414201584,196.55247491109185,195.51114414201584,196.55247491109185,196.55247491109185,None,196.55247491109185,None,space,196.55247491109185,None,1.0353,197.0262944700662,None,0.33833139203488827,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,4,14,3,,,,,,,,,,,,,,,5s,198.08468488708604,199.0864278820809,199.06986015406437,None,200.06934925704263,201.7447667850647,200.06934925704263,201.7447667850647,201.7447667850647,None,201.7447667850647,None,space,201.7447667850647,None,1.6712,202.18487864802592,None,0.3061177380150184,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,5,15,6,,,,,,,,,,,,,,,5s,203.24362856906373,204.24435254000127,204.22794063400943,None,205.22814766305964,209.16906937898602,205.22814766305964,209.16906937898602,209.16906937898602,None,209.16906937898602,None,space,209.16906937898602,None,3.9397,209.5431927900063,None,0.24178287899121642,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,6,16,8,,,,,,,,,,,,,,,5s,210.60191120300442,211.60330482700374,211.59435237909202,None,212.59468138904776,216.1117283339845,212.59468138904776,216.1117283339845,216.1117283339845,None,216.1117283339845,None,space,216.1117283339845,None,3.5167,216.46984424302354,None,0.2270640479400754,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,7,17,2,,,,,,,,,,,,,,,5s,217.52704408206046,218.52788873307873,218.51959601102863,None,219.51995414402336,220.64441793004517,219.51995414402336,220.64441793004517,220.64441793004517,None,220.64441793004517,None,space,220.64441793004517,None,1.1193,221.1113065870013,None,0.334391474025324,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,8,18,5,,,,,,,,,,,,,,,5s,222.17677448608447,223.17815748800058,223.17017532209866,None,224.16993673809338,225.31953147798777,224.16993673809338,225.31953147798777,225.31953147798777,None,225.31953147798777,None,space,225.31953147798777,None,1.1502,225.75965209805872,None,0.3073552770074457,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,9,19,9,,,,,,,,,,,,,,,5s,226.81046969699673,227.81110710999928,227.8032197559951,None,228.80289836903103,231.60276141099166,228.80289836903103,231.60276141099166,231.60276141099166,None,231.60276141099166,None,space,231.60276141099166,None,2.7987,232.4348682780983,None,0.6960436269873753,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,0,0,1,,,,,,,,,233.327099450049,None,233.327099450049,None,233.327099450049,None,1s,240.83500755007844,241.83677269809414,241.8286510250764,None,242.82873116608243,243.02790105505846,242.82873116608243,243.02790105505846,243.01984463003464,None,243.01984463003464,None,space,243.01984463003464,None,0.1941,243.48577682499308,None,0.3269721249816939,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
