attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,134.14538480201736,None,134.14538480201736,None,space,2.509027092019096,134.14538480201736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,136.6787280170247,None,136.6787280170247,None,136.6787280170247,None,5s,139.66077876009513,140.66211287805345,140.6453454620205,None,141.64538842008915,146.57880220201332,141.64538842008915,146.57880220201332,146.57880220201332,None,146.57880220201332,None,space,0.37787199998274446,146.57880220201332,None,4.9211,147.09552495810203,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,5s,148.137198880082,149.13720948901027,149.1287985140225,None,150.12886593909934,154.51224918104708,150.12886593909934,154.51224918104708,154.5043599701021,None,154.5043599701021,None,space,0.4439953309483826,154.5043599701021,None,4.3789,155.07891879905947,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,5s,156.13718426099513,157.13727209402714,157.12895070400555,None,158.13730696507264,159.47062727611046,158.13730696507264,159.47062727611046,159.45390629209578,None,159.45390629209578,None,space,0.4692261019954458,159.45390629209578,None,1.3307,160.05405788205098,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,5s,161.12065236701164,162.12069243809674,162.09560969402082,None,163.0956998670008,167.35396834404673,163.0956998670008,167.35396834404673,167.35396834404673,None,167.35396834404673,None,None,,167.35396834404673,None,4.2547,168.48742636910174,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,5s,169.53742108203005,170.53744274307974,170.52907816809602,None,171.52907037106343,174.66236532409675,171.52907037106343,174.66236532409675,174.6541183911031,None,174.6541183911031,None,space,0.5910445259651169,174.6541183911031,None,3.1277,175.37916973710526,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,5s,176.4374122270383,177.43747665407136,177.42907680303324,None,178.42909479001537,181.6707794740796,178.42909479001537,181.6707794740796,181.6624657920329,None,181.6624657920329,None,space,0.42761735897511244,181.6624657920329,None,3.2371,182.22081558103673,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,5s,183.2792162600672,184.2792443500366,184.2707978100516,None,185.27083793107886,187.12082829000428,185.27083793107886,187.12082829000428,187.1125385670457,None,187.1125385670457,None,space,0.528483479982242,187.1125385670457,None,1.8442,187.77095736109186,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,5s,188.82083759910893,189.82098890503403,189.81255229504313,None,190.8293009790359,194.8043361530872,190.8293009790359,194.8043361530872,194.77090834407136,None,194.77090834407136,None,space,0.44108876097016037,194.77090834407136,None,3.9619,195.3376264910912,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,5s,196.4030559801031,197.4043617200805,197.3876105051022,None,198.3960058511002,202.88769472809508,198.3960058511002,202.88769472809508,202.87934925802983,None,202.87934925802983,None,space,0.3505188790149987,202.87934925802983,None,4.4868,203.3614634370897,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,5s,204.41986927902326,205.4293546640547,205.42111999203917,None,206.4043953641085,210.36281423503533,206.4043953641085,210.36281423503533,210.36281423503533,None,210.36281423503533,None,space,0.36090924800373614,210.36281423503533,None,3.9528,210.8544936120743,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,0,10,0,,,,,,,,,,,,,,,5s,211.90454860008322,212.9045175469946,212.89608786907047,None,213.896103297011,218.1711560090771,213.896103297011,218.1711560090771,218.1711560090771,None,218.1711560090771,None,space,0.5694124570582062,218.1711560090771,None,4.272,218.87128408800345,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,1,11,4,,,,,,,,,,,,,,,5s,219.92117520200554,220.92118102300446,220.9128861570498,None,221.9128488370916,225.77133767900523,221.9128488370916,225.77133767900523,225.77133767900523,None,225.77133767900523,None,space,0.4004509290680289,225.77133767900523,None,3.8572,226.29624557308853,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,2,12,9,,,,,,,,,,,,,,,5s,227.37964595109224,228.3796690000454,228.35459121200256,None,229.35460674809292,231.42129822308198,229.35460674809292,231.42129822308198,231.41299782600254,None,231.41299782600254,None,space,0.4526841229526326,231.41299782600254,None,2.0616,231.99642447708175,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,3,13,8,,,,,,,,,,,,,,,5s,233.05474521010183,234.05471575201955,234.04634316905867,None,235.04640352108981,237.1047750780126,235.04640352108981,237.1047750780126,237.0964350750437,None,237.0964350750437,None,space,0.4672496400307864,237.0964350750437,None,2.0541,237.6881178120384,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,4,14,1,,,,,,,,,,,,,,,5s,238.7650396070676,239.7714617990423,239.7463853780646,None,240.74641400703695,243.53821661509573,240.74641400703695,243.53821661509573,243.52854438405484,None,243.52854438405484,None,space,0.3622054789448157,243.52854438405484,None,2.7713,244.0215362861054,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,5,15,5,,,,,,,,,,,,,,,5s,245.07154749904294,246.07154462800827,246.0631253690226,None,247.06320505810436,248.42981667304412,247.06320505810436,248.42981667304412,248.42981667304412,None,248.42981667304412,None,space,0.49447672395035625,248.42981667304412,None,1.3652,249.0548940410372,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,6,16,6,,,,,,,,,,,,,,,5s,250.1132898411015,251.11323512310628,251.11323512310628,None,252.10486718208995,255.99653035600204,252.10486718208995,255.99653035600204,255.99653035600204,None,255.99653035600204,None,space,0.4077813730109483,255.99653035600204,None,3.8917,256.5299463160336,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,7,17,2,,,,,,,,,,,,,,,5s,257.5966974220937,258.5966729481006,258.5799387959996,None,259.58000662806444,262.60496491310187,259.58000662806444,262.60496491310187,262.60496491310187,None,262.60496491310187,None,space,0.46925028692930937,262.60496491310187,None,3.0179,263.20507037604693,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,8,18,7,,,,,,,,,,,,,,,5s,264.26338781404775,265.26329741906375,265.25499829510227,None,266.2550279170973,268.605012964108,266.2550279170973,268.605012964108,268.5967638880247,None,268.5967638880247,None,space,0.38380329695064574,268.5967638880247,None,2.3433,269.1121541970642,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,1,9,19,3,,,,,,,,,,,,,,,5s,270.163393734023,271.1634714381071,271.1551396830473,None,272.15506786305923,276.85513996204827,272.15506786305923,276.85513996204827,276.84675018000416,None,276.84675018000416,None,space,0.636051869019866,276.84675018000416,None,4.6932,277.61356266005896,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,1.0,0.75,1,0,0,0,0,1,0,1,0,0,0,0,8,,,,,,,,,278.5051604100736,None,278.5051604100736,None,278.5051604100736,None,10s,280.5134825160494,281.513486280106,281.49683142104186,None,282.49684421310667,285.08851605304517,282.49684421310667,285.08851605304517,285.08851605304517,None,285.08851605304517,None,space,0.6192737059900537,285.08851605304517,None,2.5874,285.8386226570001,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,10s,286.896865178016,287.89696047105826,287.88856336206663,None,288.88855561905075,297.005302692065,288.88855561905075,297.005302692065,297.005302692065,None,297.005302692065,None,space,0.41734642698429525,297.005302692065,None,8.1167,297.55413332604803,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,2,2,6,,,,,,,,,,,,,,,10s,298.6137608271092,299.61377269006334,299.60533983202185,None,300.60534423205536,309.62219666608144,300.60534423205536,309.62219666608144,309.62219666608144,None,309.62219666608144,None,space,0.3743925460148603,309.62219666608144,None,9.0149,310.12212797102984,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,3,3,1,,,,,,,,,,,,,,,10s,311.1888927350519,312.18886395101435,312.1804975110572,None,313.1805345941102,314.7971763830865,313.1805345941102,314.7971763830865,314.7971763830865,None,314.7971763830865,None,space,0.5445826700888574,314.7971763830865,None,1.6156,315.47229639207944,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,0.75,1.0,1,0,0,0,0,1,0,1,0,0,4,4,3,,,,,,,,,,,,,,,10s,316.5222799020121,317.52229691506363,317.51383249706123,None,318.51397789805196,324.3723902920028,318.51397789805196,324.3723902920028,324.3723902920028,None,324.3723902920028,None,space,0.477644301019609,324.3723902920028,None,5.8468,324.98072225099895,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,5,5,4,,,,,,,,,,,,,,,10s,326.04608226008713,327.04735680203885,327.0306284140097,None,328.0307430770481,336.4890842260793,328.0307430770481,336.4890842260793,336.480734358076,None,336.480734358076,None,space,0.4506698640761897,336.480734358076,None,8.4522,337.05573776201345,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,6,6,2,,,,,,,,,,,,,,,10s,338.1141940311063,339.1141647900222,339.10585906903725,None,340.10585670301225,347.5725980150746,340.10585670301225,347.5725980150746,347.5725980150746,None,347.5725980150746,None,space,0.4004939600126818,347.5725980150746,None,7.4574,348.1045971730491,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,10s,349.16428735200316,350.16422681801487,350.1559915790567,None,351.1642247940181,351.5892453540582,351.1642247940181,351.5892453540582,351.58085930603556,None,351.58085930603556,None,space,0.5924448459409177,351.58085930603556,None,0.4236,352.3046922570793,None,,,,,,,DEC018,001,2022_Nov_04_1511,2-25_cond_decay_EYE-try,2021.2.3,120.0197648768356,
