attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,2,12,1,,,,,,,,,,,,,,,1s,60.247001903131604,61.247731322888285,61.24192888569087,None,62.24180722609162,62.79274210194126,62.24180722609162,62.79274210194126,62.78586368681863,None,62.78586368681863,None,space,0.2644286993891001,62.78586368681863,None,0.5429,63.07060310477391,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,3,13,5,,,,,,,,,,,,,,,1s,64.07267636805773,65.07182247471064,65.06607670802623,None,66.0664834138006,66.63488196069375,66.0664834138006,66.63488196069375,66.62841753102839,None,66.62841753102839,None,space,0.3338756961748004,66.62841753102839,None,0.5591,66.97412190679461,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,4,14,7,,,,,,,,,,,,,,,1s,67.97472874680534,68.9751932467334,68.9694600389339,None,69.96874200599268,70.23577892873436,69.96874200599268,70.23577892873436,70.23577892873436,None,70.23577892873436,None,space,0.3185235350392759,70.23577892873436,None,0.2666,70.5677154888399,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,5,15,9,,,,,,,,,,,,,,,1s,71.57360641192645,72.57555396482348,72.5686756609939,None,73.56945869605988,73.95076616574079,73.56945869605988,73.95076616574079,73.95076616574079,None,73.95076616574079,None,space,0.28352817613631487,73.95076616574079,None,0.3815,74.24643489113078,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,6,16,0,,,,,,,,,,,,,,,1s,75.24787099007517,76.24756042798981,76.24184045102447,None,77.24178439099342,77.90823152894154,77.24178439099342,77.90823152894154,77.90823152894154,None,77.90823152894154,None,space,0.29404834378510714,77.90823152894154,None,0.6672,78.21682430896908,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,7,17,8,,,,,,,,,,,,,,,1s,79.22185530792922,80.22383297095075,80.21710423193872,None,81.21768445475027,81.77408654801548,81.21768445475027,81.77408654801548,81.76762927277014,None,81.76762927277014,None,space,0.28266869904473424,81.76762927277014,None,0.547,82.06608464196324,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,8,18,2,,,,,,,,,,,,,,,1s,83.07059503206983,84.07177940476686,84.06601635785773,None,85.0654571200721,85.47838500002399,85.0654571200721,85.47838500002399,85.47838500002399,None,85.47838500002399,None,space,0.25991855980828404,85.47838500002399,None,0.411,85.74981295270845,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,9,19,4,,,,,,,,,,,,,,,1s,86.75084481900558,87.7508412366733,87.74511412903666,None,88.74443336483091,89.44144448684528,88.74443336483091,89.44144448684528,89.43596952967346,None,89.43596952967346,None,space,0.24632601300254464,89.43596952967346,None,0.6921,89.69460096675903,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,0,0,4,,,,,,,,,90.70703649707139,None,90.70703649707139,None,90.70703649707139,None,10s,93.54902067407966,94.55093831568956,94.53806469170377,None,95.53799331979826,101.99924596771598,95.53799331979826,101.99924596771598,101.99924596771598,None,101.99924596771598,None,None,,101.99924596771598,None,6.4582,103.01556330593303,None,,,,,,,003-1,001,2022_Apr_06_1523,2-25_cond_decay,2021.2.3,164.68656296418624,
