attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,106.76870018299087,None,106.76870018299087,None,space,2.5132907179940958,106.76870018299087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,109.31185779299994,None,109.31185779299994,None,109.31185779299994,None,10s,111.14890959000331,112.1477874090051,112.13652735299547,None,113.13639231800335,122.37330764399667,113.13639231800335,122.37330764399667,122.37330764399667,None,122.37330764399667,None,space,0.41277199900650885,122.37330764399667,None,9.2413,122.93047166800534,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,10s,123.97813921399938,124.96985019899148,124.9649688310019,None,125.96544509299565,128.55388517599204,125.96544509299565,128.55388517599204,128.55388517599204,None,128.55388517599204,None,space,0.5200996619969374,128.55388517599204,None,2.5934,129.2033595679968,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,10s,130.25794215699716,131.2563899240049,131.23728749199654,None,132.2391874629975,135.8733882939996,132.2391874629975,135.8733882939996,135.87864858299145,None,135.87864858299145,None,space,0.3633360889944015,135.87864858299145,None,3.638,136.37861792599142,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,10s,137.43367333999777,138.43227903399384,138.40700328200182,None,139.4032753079955,141.6450860079931,139.4032753079955,141.6450860079931,141.65606251900317,None,141.65606251900317,None,space,0.4099266190023627,141.65606251900317,None,2.2492,142.19649427999684,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,10s,143.25769481000316,144.25711359200068,144.23266540600162,None,145.23167241399642,150.97229533299105,145.23167241399642,150.97229533299105,150.97229533299105,None,150.97229533299105,None,space,0.5257414110092213,150.97229533299105,None,5.7433,151.6275871599937,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,10s,152.679330251005,153.67419953999342,153.64548182100407,None,154.64935531499214,164.03773518699745,154.64935531499214,164.03773518699745,164.03773518699745,None,164.03773518699745,None,space,0.4042589960008627,164.03773518699745,None,9.3935,164.57800006600155,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,10s,165.633791803004,166.63219249999383,166.61456794799597,None,167.61245015999884,170.2080498139985,167.61245015999884,170.2080498139985,170.21471587600536,None,170.21471587600536,None,space,0.4033379460015567,170.21471587600536,None,2.5979,170.74805372799165,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,10s,171.8085219689965,172.8067477709992,172.77876436799124,None,173.78272910800297,179.60713307600236,173.78272910800297,179.60713307600236,179.60713307600236,None,179.60713307600236,None,space,0.3709737939934712,179.60713307600236,None,5.8227,180.11185949199717,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,10s,181.17138518700085,182.16378018799878,182.14549188199453,None,183.1454015479976,192.17061367200222,183.1454015479976,192.17061367200222,192.183718011991,None,192.183718011991,None,space,0.3222711840062402,192.183718011991,None,9.0319,192.63824958499754,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,9,9,2,,,,,,,,,,,,,,,10s,193.69933337299153,194.69859666199773,194.68072851499892,None,195.6789149940014,198.2799302600033,195.6789149940014,198.2799302600033,198.29108996399736,None,198.29108996399736,None,space,0.4309849309938727,198.29108996399736,None,2.61,198.85640322900144,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,0,10,0,,,,,,,,,,,,,,,10s,199.91185400199902,200.90449655699194,200.89755876199342,None,201.89742631299305,207.74015753999993,201.89742631299305,207.74015753999993,207.74601006800367,None,207.74601006800367,None,space,0.38399557600496337,207.74601006800367,None,5.8492,208.2631866409938,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,1,11,8,,,,,,,,,,,,,,,10s,209.3216712919966,210.31627138900512,210.2969781080028,None,211.29732228600187,213.90447651900467,211.29732228600187,213.90447651900467,213.91633169799752,None,213.91633169799752,None,space,0.4777404509950429,213.91633169799752,None,2.6134,214.5236418699933,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,2,12,9,,,,,,,,,,,,,,,10s,215.5793286410044,216.57218304800335,216.55855949700344,None,217.55808117399283,222.52975359300035,217.55808117399283,222.52975359300035,222.5403796729952,None,222.5403796729952,None,space,0.2936135269992519,222.5403796729952,None,4.981,222.97097559800022,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,3,13,4,,,,,,,,,,,,,,,10s,224.02630390500417,225.02390745899174,225.00712951799505,None,225.9960967270017,229.6050202339975,225.9960967270017,229.6050202339975,229.62410445099522,None,229.62410445099522,None,space,0.28998593700816855,229.62410445099522,None,3.6179,230.04618614500214,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,4,14,7,,,,,,,,,,,,,,,10s,231.1050896509987,232.0960031499999,232.07996977100265,None,233.08021690799796,240.438030417994,233.08021690799796,240.438030417994,240.44912897900213,None,240.44912897900213,None,space,0.32893859400064684,240.44912897900213,None,7.3626,240.9106061479979,None,,,,,,,DEC011,001,2022_Aug_09_0939,2-25_cond_decay_EYE-try,2021.2.3,None,
