attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,1,11,5,,,,,,,,,,,,,,,1s,370.977728926111,371.97829811507836,371.9701963160187,None,372.9695269688964,373.3282582038082,372.9695269688964,373.3282582038082,373.3282582038082,None,373.3282582038082,None,space,373.3282582038082,None,0.3589,373.8017082819715,None,0.3440298237837851,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,2,12,3,,,,,,,,,,,,,,,1s,374.9024447789416,375.9032279518433,375.88629978708923,None,376.8862683637999,377.6621657051146,376.8862683637999,377.6621657051146,377.6621657051146,None,377.6621657051146,None,space,377.6621657051146,None,0.7693,378.04336006194353,None,0.2523636966943741,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,3,13,6,,,,,,,,,,,,,,,1s,379.1351899760775,380.1371689089574,380.12852056883276,None,381.1282417657785,381.7702821511775,381.1282417657785,381.7702821511775,381.76155142113566,None,381.76155142113566,None,space,381.76155142113566,None,0.6397,382.2018770650029,None,0.31092183804139495,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,4,14,8,,,,,,,,,,,,,,,1s,383.2932413397357,384.29502983018756,384.2870583208278,None,385.28668396594003,386.0452226931229,385.28668396594003,386.0452226931229,386.0452226931229,None,386.0452226931229,None,space,386.0452226931229,None,0.7582,386.34419822413474,None,0.17505909595638514,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,5,15,2,,,,,,,,,,,,,,,1s,387.44411887507886,388.4449453279376,388.4289365359582,None,389.42869975278154,389.9370205150917,389.42869975278154,389.9370205150917,389.9370205150917,None,389.9370205150917,None,space,389.9370205150917,None,0.5072,390.43525770585984,None,0.36866350285708904,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,6,16,9,,,,,,,,,,,,,,,1s,391.52768290089443,392.5287161068991,392.5200878791511,None,393.51997428387403,393.9372011399828,393.51997428387403,393.9372011399828,393.9285295540467,None,393.9285295540467,None,space,393.9285295540467,None,0.4127,394.3367678001523,None,0.2841432490386069,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,7,17,1,,,,,,,,,,,,,,,1s,395.4359419341199,396.43637077417225,396.42908798810095,None,397.4282953031361,398.4204281810671,397.4282953031361,398.4204281810671,398.4204281810671,None,398.4204281810671,None,space,398.4204281810671,None,0.9899,398.81060789106414,None,0.26100923493504524,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,8,18,7,,,,,,,,,,,,,,,1s,399.90186387486756,400.90381151111796,400.8953537759371,None,401.8954626787454,402.28692369489,401.8954626787454,402.28692369489,402.2780416868627,None,402.2780416868627,None,space,402.2780416868627,None,0.3871,402.7440915959887,None,0.3427505400031805,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,9,19,0,,,,,,,,,,,,,,,1s,403.83700706483796,404.83713766606525,404.8286041277461,None,405.82891467306763,406.2615929818712,405.82891467306763,406.2615929818712,406.2615929818712,None,406.2615929818712,None,space,406.2615929818712,None,0.4284,406.7118959291838,None,0.3257960770279169,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
