attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,155.83167377702193,None,155.83167377702193,None,space,1.481699424010003,155.83167377702193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC010,001,2022_Jul_07_1710,2-25_cond_decay_EYE-try,2021.2.3,164.9975568938814,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,157.3407436569978,None,157.3407436569978,None,157.3407436569978,None,5s,159.12247076400672,160.1225286310073,160.1163789840066,None,161.1164573650167,165.85573759800172,161.1164573650167,165.85573759800172,165.85573759800172,None,165.85573759800172,None,space,0.4096238039783202,165.85573759800172,None,4.7386,166.40728083101567,None,,,,,,,DEC010,001,2022_Jul_07_1710,2-25_cond_decay_EYE-try,2021.2.3,164.9975568938814,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,5s,167.44970783600002,168.44961403901107,168.44363331701607,None,169.44361677300185,170.87988837700686,169.44361677300185,170.87988837700686,170.8725215360173,None,170.8725215360173,None,space,0.5288687909778673,170.8725215360173,None,1.4284,171.54055135601084,None,,,,,,,DEC010,001,2022_Jul_07_1710,2-25_cond_decay_EYE-try,2021.2.3,164.9975568938814,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,5s,172.6010902810085,173.6011368840118,173.59508193901274,None,174.59507758301334,176.3648236200097,174.59507758301334,176.3648236200097,176.35733865201473,None,176.35733865201473,None,space,0.31596037399140187,176.35733865201473,None,1.759,176.80109620501753,None,,,,,,,DEC010,001,2022_Jul_07_1710,2-25_cond_decay_EYE-try,2021.2.3,164.9975568938814,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,5s,177.84958554501645,178.8494922380196,178.84349624702008,None,179.84348785399925,181.87375216800137,179.84348785399925,181.87375216800137,181.87375216800137,None,181.87375216800137,None,space,0.3596127490163781,181.87375216800137,None,2.0293,182.37073356701876,None,,,,,,,DEC010,001,2022_Jul_07_1710,2-25_cond_decay_EYE-try,2021.2.3,164.9975568938814,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,5s,183.43131923102192,184.43130560201826,184.42526181400171,None,185.4251740979962,185.8919076330203,185.4251740979962,185.8919076330203,185.88460422400385,None,185.88460422400385,None,space,0.4367877500189934,185.88460422400385,None,0.4574,186.4494683490193,None,,,,,,,DEC010,001,2022_Jul_07_1710,2-25_cond_decay_EYE-try,2021.2.3,164.9975568938814,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,5s,187.5039600940072,188.5039297080075,188.4979209600133,None,189.49791982999886,192.67360750000807,189.49791982999886,192.67360750000807,192.66628972502076,None,192.66628972502076,None,space,0.535088981006993,192.66628972502076,None,3.1654,193.34029090902186,None,,,,,,,DEC010,001,2022_Jul_07_1710,2-25_cond_decay_EYE-try,2021.2.3,164.9975568938814,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,5s,194.40084366101655,195.4008833669941,195.38869387999875,None,196.38870335600222,198.94631498501985,196.38870335600222,198.94631498501985,198.94631498501985,None,198.94631498501985,None,space,0.3831033299793489,198.94631498501985,None,2.5531,199.4674876880017,None,,,,,,,DEC010,001,2022_Jul_07_1710,2-25_cond_decay_EYE-try,2021.2.3,164.9975568938814,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,5s,200.52802651000093,201.52808378799818,201.51588215801166,None,202.51594241600833,207.15224370901706,202.51594241600833,207.15224370901706,207.15224370901706,None,207.15224370901706,None,space,0.2890704610035755,207.15224370901706,None,4.6343,207.57042818600894,None,,,,,,,DEC010,001,2022_Jul_07_1710,2-25_cond_decay_EYE-try,2021.2.3,164.9975568938814,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,5s,208.6310038100055,209.63100958400173,209.62489401199855,None,210.62494639999932,211.0249369550147,210.62494639999932,211.0249369550147,211.01754999600234,None,211.01754999600234,None,space,0.9757734150043689,211.01754999600234,None,0.3911,212.12664223602042,None,,,,,,,DEC010,001,2022_Jul_07_1710,2-25_cond_decay_EYE-try,2021.2.3,164.9975568938814,
