attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,1,11,1,,,,,,,,,,,,,,,10s,634.7180485230056,635.7193054189847,635.7109624400036,None,636.7103705719928,637.260891184007,636.7103705719928,637.260891184007,637.260891184007,None,637.260891184007,None,space,637.260891184007,None,0.5496,637.934187670995,None,0.5443513040081598,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,2,12,6,,,,,,,,,,,,,,,10s,638.9843883420108,639.9857698300038,639.9772382839874,None,640.9769528089964,650.4029417400016,640.9769528089964,650.4029417400016,650.4029417400016,None,650.4029417400016,None,space,650.4029417400016,None,9.4241,651.1179231459973,None,0.5852069199900143,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,3,13,5,,,,,,,,,,,,,,,10s,652.1763657809934,653.1773330360011,653.1687218089937,None,654.1689740639995,657.5944635210035,654.1689740639995,657.5944635210035,657.5944635210035,None,657.5944635210035,None,space,657.5944635210035,None,3.4231,658.335899800004,None,0.6168648439925164,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,4,14,0,,,,,,,,,,,,,,,10s,659.4008656429942,660.4027822089847,660.3937749050092,None,661.3938885139942,663.8191730289836,661.3938885139942,663.8191730289836,663.8112169459928,None,663.8112169459928,None,space,663.8112169459928,None,2.4184,664.3524378229922,None,0.4171145769942086,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,5,15,9,,,,,,,,,,,,,,,10s,665.4181020270044,666.4188618559856,666.4107609800121,None,667.4105899310089,674.7864367289876,667.4105899310089,674.7864367289876,674.7864367289876,None,674.7864367289876,None,None,674.7864367289876,None,7.3743,675.9099000429851,None,,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,6,16,7,,,,,,,,,,,,,,,10s,676.9676854209974,677.969683776988,677.952562313003,None,678.9527450290043,687.3943654040049,678.9527450290043,687.3943654040049,687.3943654040049,None,687.3943654040049,None,None,687.3943654040049,None,8.438,688.5111275170057,None,,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,7,17,4,,,,,,,,,,,,,,,10s,689.5691615169926,690.5697397080075,690.5611651029903,None,691.5616188230051,692.6943597059872,691.5616188230051,692.6943597059872,692.6943597059872,None,692.6943597059872,None,space,692.6943597059872,None,1.1322,693.3595394770091,None,0.5338542850222439,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,1,8,18,2,,,,,,,,,,,,,,,10s,694.4101857139904,695.4118078920001,695.4032023269974,None,696.4025227940001,697.53636521101,696.4025227940001,697.53636521101,697.53636521101,None,697.53636521101,None,space,697.53636521101,None,1.1352,698.1096079130075,None,0.4446690850018058,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,9,19,8,,,,,,,,,,,,,,,10s,699.160429237003,700.1617278699996,700.1532311390038,None,701.1533663779846,701.5115146689932,701.1533663779846,701.5115146689932,701.5029804279911,None,701.5029804279911,None,space,701.5029804279911,None,0.3529,702.2520175490063,None,0.6189977430040017,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC016,001,2022_Oct_28_1345,2-25_cond_decay_EYE-try,2021.2.3,119.41984787234422,
