attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,1,11,6,,,,,,,,,,,,,,,1s,464.9979177019559,465.9978757968638,465.9895221949555,None,466.9896103949286,467.93961703800596,466.9896103949286,467.93961703800596,467.93961703800596,None,467.93961703800596,None,space,467.93961703800596,None,0.9491,468.36461443197913,None,0.293979830108583,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,2,12,8,,,,,,,,,,,,,,,1s,469.42167451186106,470.42298392998055,470.40630069794133,None,471.4062661388889,471.6645719988737,471.4062661388889,471.6645719988737,471.6645719988737,None,471.6645719988737,None,space,471.6645719988737,None,0.2564,472.25633613206446,None,0.45903290109708905,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,3,13,5,,,,,,,,,,,,,,,1s,473.31331422389485,474.3146277309861,474.2980810289737,None,475.2980189858936,476.08130184793845,475.2980189858936,476.08130184793845,476.08130184793845,None,476.08130184793845,None,space,476.08130184793845,None,0.7787,476.4813728160225,None,0.26938555599190295,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,4,14,7,,,,,,,,,,,,,,,1s,477.5313818429131,478.53138999803923,478.52307862089947,None,479.52303126687184,479.82299752300605,479.52303126687184,479.82299752300605,479.8146804170683,None,479.8146804170683,None,space,479.8146804170683,None,0.2954,480.3147430769168,None,0.36924289003945887,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,5,15,9,,,,,,,,,,,,,,,1s,481.37310244794935,482.373075008858,482.3647628980689,None,483.3647855569143,483.57313554594293,483.3647855569143,483.57313554594293,483.57313554594293,None,483.57313554594293,None,space,483.57313554594293,None,0.2046,484.00645422702655,None,0.30051545705646276,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,6,16,0,,,,,,,,,,,,,,,1s,485.064736364875,486.0649156610016,486.0564153608866,None,487.0564176819753,487.5148738930002,487.0564176819753,487.5148738930002,487.5148738930002,None,487.5148738930002,None,space,487.5148738930002,None,0.4565,487.9148308308795,None,0.268949227174744,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,7,17,1,,,,,,,,,,,,,,,1s,488.97189127188176,489.9731261138804,489.9565286738798,None,490.95646355790086,491.4815352789592,490.95646355790086,491.4815352789592,491.4815352789592,None,491.4815352789592,None,space,491.4815352789592,None,0.5237,491.8815403650515,None,0.2690559739712626,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,1,8,18,2,,,,,,,,,,,,,,,1s,492.93983450485393,493.93982299393974,493.93156327307224,None,494.9315654609818,495.85652338387445,494.9315654609818,495.85652338387445,495.84826047485694,None,495.84826047485694,None,space,495.84826047485694,None,0.9178,496.1732664820738,None,0.19416924007236958,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,9,19,4,,,,,,,,,,,,,,,1s,497.2303128449712,498.23156336904503,498.21487518795766,None,499.21495589707047,499.62322394689545,499.21495589707047,499.62322394689545,499.62322394689545,None,499.62322394689545,None,space,499.62322394689545,None,0.4024,500.0803313308861,None,0.3255264279432595,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
