attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,88.50121001061052,None,88.50121001061052,None,space,2.5832624388858676,88.50121001061052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC026,001,2022_Dec_06_1613,2-25_cond_decay_EYE-try,2021.2.3,119.82529801643402,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,91.1079968479462,None,91.1079968479462,None,91.1079968479462,None,5s,95.74087488697842,96.74196257675067,96.73449991689995,None,97.7344191018492,101.97563953977078,97.7344191018492,101.97563953977078,101.96716289455071,None,101.96716289455071,None,space,0.028427607379853725,101.96716289455071,None,4.2375,102.13310179999098,None,,,,,,,DEC026,001,2022_Dec_06_1613,2-25_cond_decay_EYE-try,2021.2.3,119.82529801643402,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,5s,103.21622796263546,104.21742600481957,104.20912869274616,None,105.20923698786646,108.2341019618325,105.20923698786646,108.2341019618325,108.2341019618325,None,108.2341019618325,None,space,0.5251755551435053,108.2341019618325,None,3.0248,108.88309393962845,None,,,,,,,DEC026,001,2022_Dec_06_1613,2-25_cond_decay_EYE-try,2021.2.3,119.82529801643402,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,5s,109.98326282482594,110.9844595938921,110.9760350487195,None,111.97634858079255,113.29304879298434,111.97634858079255,113.29304879298434,113.28420894779265,None,113.28420894779265,None,space,0.5191734349355102,113.28420894779265,None,1.3119,113.93351064575836,None,,,,,,,DEC026,001,2022_Dec_06_1613,2-25_cond_decay_EYE-try,2021.2.3,119.82529801643402,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,5s,115.02447443269193,116.0265795616433,116.01719674281776,None,117.01719436561689,118.66717969859019,117.01719436561689,118.66717969859019,118.65972220664844,None,118.65972220664844,None,space,0.7021280289627612,118.65972220664844,None,1.645,119.49110194388777,None,,,,,,,DEC026,001,2022_Dec_06_1613,2-25_cond_decay_EYE-try,2021.2.3,119.82529801643402,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,5s,120.58285747282207,121.58432254195213,121.57602195860818,None,122.5765006877482,125.99254179792479,122.5765006877482,125.99254179792479,125.99254179792479,None,125.99254179792479,None,space,0.4363014092668891,125.99254179792479,None,3.4125,126.55838653165847,None,,,,,,,DEC026,001,2022_Dec_06_1613,2-25_cond_decay_EYE-try,2021.2.3,119.82529801643402,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,5s,127.65015337383375,128.65073855780065,128.64325207285583,None,129.6427518548444,134.2012910968624,129.6427518548444,134.2012910968624,134.1925627887249,None,134.1925627887249,None,space,0.44400547398254275,134.1925627887249,None,4.5534,134.76694150362164,None,,,,,,,DEC026,001,2022_Dec_06_1613,2-25_cond_decay_EYE-try,2021.2.3,119.82529801643402,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,5s,135.85790805891156,136.85957666067407,136.85120809590444,None,137.8511280347593,142.517770644743,137.8511280347593,142.517770644743,142.509106435813,None,142.509106435813,None,space,0.4862809432670474,142.509106435813,None,4.6641,143.12506381282583,None,,,,,,,DEC026,001,2022_Dec_06_1613,2-25_cond_decay_EYE-try,2021.2.3,119.82529801643402,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,5s,144.21629252564162,145.2177244545892,145.20932409865782,None,146.20942701771855,149.6345232645981,146.20942701771855,149.6345232645981,149.62604929180816,None,149.62604929180816,None,space,0.4114083470776677,149.62604929180816,None,3.4182,150.1665252028033,None,,,,,,,DEC026,001,2022_Dec_06_1613,2-25_cond_decay_EYE-try,2021.2.3,119.82529801643402,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,5s,151.25011731358245,152.25102108856663,152.2428311756812,None,153.24311631172895,154.7761655836366,153.24311631172895,154.7761655836366,154.7761655836366,None,154.7761655836366,None,space,0.5863575101830065,154.7761655836366,None,1.5327,155.49226479791105,None,,,,,,,DEC026,001,2022_Dec_06_1613,2-25_cond_decay_EYE-try,2021.2.3,119.82529801643402,
