attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,12.544304684968665,None,12.544304684968665,None,space,1.456103147007525,12.544304684968665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,14.02726486301981,None,14.02726486301981,None,14.02726486301981,None,10s,16.778787547023967,17.780101416865364,17.76828501885757,None,18.768432539887726,24.477196411928162,18.768432539887726,24.477196411928162,24.477196411928162,None,24.477196411928162,None,space,0.5151329210493714,24.477196411928162,None,5.7094,25.015102077042684,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,10s,26.004903946071863,27.00390791706741,26.998149623861536,None,27.998319645877928,35.25236586597748,27.998319645877928,35.25236586597748,35.25236586597748,None,35.25236586597748,None,space,0.3960353971924633,35.25236586597748,None,7.2548,35.66508161392994,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,10s,36.665174399036914,37.66496905987151,37.65915222093463,None,38.658485737862065,39.84627491189167,38.658485737862065,39.84627491189167,39.84627491189167,None,39.84627491189167,None,space,0.41012459993362427,39.84627491189167,None,1.1865,40.26966660795733,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,10s,41.27122065704316,42.27095644804649,42.26526123494841,None,43.26465461193584,49.524210925912485,43.26465461193584,49.524210925912485,49.51765556191094,None,49.51765556191094,None,space,0.34676281083375216,49.51765556191094,None,6.2516,49.875138900009915,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,10s,50.88719964586198,51.88873401097953,51.87673036986962,None,52.87668706593104,53.203663408057764,52.87668706593104,53.203663408057764,53.203663408057764,None,53.203663408057764,None,space,0.40473884087987244,53.203663408057764,None,0.3256,53.62043981207535,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,10s,54.62186304992065,55.621851136907935,55.61612119199708,None,56.61575354193337,57.742427333956584,56.61575354193337,57.742427333956584,57.73582828999497,None,57.73582828999497,None,space,0.3845653389580548,57.73582828999497,None,1.1198,58.13759140786715,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,10s,59.1369004980661,60.13689991901629,60.13113315589726,None,61.130665987031534,67.09452543198131,61.130665987031534,67.09452543198131,67.08791127707809,None,67.08791127707809,None,space,0.40848807781003416,67.08791127707809,None,5.9537,67.51318286499009,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,10s,68.51713808486238,69.5185530660674,69.5128332178574,None,70.51256359997205,77.29340855800547,70.51256359997205,77.29340855800547,77.28676178702153,None,77.28676178702153,None,space,0.385635495884344,77.28676178702153,None,6.7739,77.69381832401268,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,0,8,8,6,,,,,,,,,,,,,,,10s,78.69918161607347,79.70037646498531,79.69479765091091,None,80.69451744202524,89.90627296594903,80.69451744202524,89.90627296594903,89.90627296594903,None,89.90627296594903,None,space,0.3261350770480931,89.90627296594903,None,9.2106,90.24449186190031,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,10s,91.25018222793005,92.2523716990836,92.24546175287105,None,93.24614572501741,95.37268530786969,93.24614572501741,95.37268530786969,95.36732879304327,None,95.36732879304327,None,space,0.37708534696139395,95.36732879304327,None,2.1219,95.76123959990218,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,0,10,4,,,,,,,,,,,,,,,10s,96.76068753097206,97.76116766803898,97.75447995099239,None,98.75442720996216,105.81566651607864,98.75442720996216,105.81566651607864,105.81566651607864,None,105.81566651607864,None,space,0.3686742300633341,105.81566651607864,None,7.0613,106.19584322092123,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,1,11,9,,,,,,,,,,,,,,,10s,107.20145023590885,108.20292258495465,108.19721186789684,None,109.19687022804283,110.77918018703349,109.19687022804283,110.77918018703349,110.77918018703349,None,110.77918018703349,None,space,0.437224212102592,110.77918018703349,None,1.5816,111.233425532002,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,2,12,0,,,,,,,,,,,,,,,10s,112.23822321090847,113.23915888089687,113.23343761800788,None,114.23331875889562,117.73498682794161,114.23331875889562,117.73498682794161,117.72855003387667,None,117.72855003387667,None,space,0.3597848010249436,117.72855003387667,None,3.4923,118.11035839095712,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,0.75,1.0,1,0,0,0,0,0,0,0,0,1,3,13,3,,,,,,,,,,,,,,,10s,119.11749421898276,120.11767059192061,120.11191639304161,None,121.11191902193241,122.35414679488167,121.11191902193241,122.35414679488167,122.35414679488167,None,122.35414679488167,None,space,0.38218507799319923,122.35414679488167,None,1.2433,122.75489503890276,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,4,14,7,,,,,,,,,,,,,,,10s,123.75392875587568,124.75434180302545,124.74877860606648,None,125.74880232685246,126.37844965304248,125.74880232685246,126.37844965304248,126.37195730907843,None,126.37195730907843,None,space,0.332503599813208,126.37195730907843,None,0.6188,126.71643814095296,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,5,15,2,,,,,,,,,,,,,,,10s,127.72278928291053,128.72384775802493,128.71822838997468,None,129.71843145997263,130.48777751694433,129.71843145997263,130.48777751694433,130.48090259102173,None,130.48090259102173,None,space,0.3755147971678525,130.48090259102173,None,0.7603,130.86812616302632,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,0,0,0,0,1,6,16,1,,,,,,,,,,,,,,,10s,131.86927583697252,132.8696192658972,132.8639336079359,None,133.8636735449545,137.29866472887807,133.8636735449545,137.29866472887807,137.29213075293228,None,137.29213075293228,None,space,0.3882986200042069,137.29213075293228,None,3.428,137.69261847389862,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,7,17,8,,,,,,,,,,,,,,,10s,138.698719589971,139.69940534001216,139.69346471689641,None,140.6935032780748,146.42719956487417,140.6935032780748,146.42719956487417,146.42719956487417,None,146.42719956487417,None,space,0.3492210360709578,146.42719956487417,None,5.733,146.7890560340602,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,0,0,0,0,1,8,18,6,,,,,,,,,,,,,,,10s,147.78996876603924,148.79077131208032,148.78390711988322,None,149.78409834299237,154.92969581088983,149.78409834299237,154.92969581088983,154.92969581088983,None,154.92969581088983,None,space,0.47071664594113827,154.92969581088983,None,5.1452,155.41373485303484,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,1.0,0.75,1,0,0,0,0,0,0,0,0,1,9,19,5,,,,,,,,,,,,,,,10s,156.41911644907668,157.42047090502456,157.41479334095493,None,158.41442504990846,166.85678645502776,158.41442504990846,166.85678645502776,166.85678645502776,None,166.85678645502776,None,space,0.3836259008385241,166.85678645502776,None,8.4423,167.26199801196344,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,0,0,6,,,,,,,,,168.27428456302732,None,168.27428456302732,None,168.27428456302732,None,5s,170.15247398498468,171.15404775296338,171.14732137485407,None,172.14206730294973,174.47509058588184,172.14206730294973,174.47509058588184,174.47509058588184,None,174.47509058588184,None,space,0.30925096198916435,174.47509058588184,None,2.3286,174.8068515008781,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,5s,175.80847385688685,176.80788905289955,176.80217575095594,None,177.8023556030821,180.34101276402362,177.8023556030821,180.34101276402362,180.33445733389817,None,180.33445733389817,None,space,0.2818866230081767,180.33445733389817,None,2.5279,180.63238420989364,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,2,2,9,,,,,,,,,,,,,,,5s,181.6320413739886,182.6326320359949,182.62586218095385,None,183.62593129696324,184.57795583992265,183.62593129696324,184.57795583992265,184.57795583992265,None,184.57795583992265,None,space,0.42246356909163296,184.57795583992265,None,0.9522,185.01259691803716,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,3,3,5,,,,,,,,,,,,,,,5s,186.0185407840181,187.01987277786247,187.01396690006368,None,188.01445361506194,189.15251099900343,188.01445361506194,189.15251099900343,189.1459804449696,None,189.1459804449696,None,space,0.3264446551911533,189.1459804449696,None,1.1292,189.48609529295936,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,4,4,7,,,,,,,,,,,,,,,5s,190.49146504187956,191.4929131749086,191.48729465389624,None,192.48723106086254,197.2311608849559,192.48723106086254,197.2311608849559,197.2246318059042,None,197.2246318059042,None,space,0.3677948780823499,197.2246318059042,None,4.7349,197.6131147830747,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,5,5,2,,,,,,,,,,,,,,,5s,198.61921187792905,199.6203947190661,199.6136487920303,None,200.61357183288783,202.29876206093468,200.61357183288783,202.29876206093468,202.29876206093468,None,202.29876206093468,None,space,0.3656534480396658,202.29876206093468,None,1.685,202.68088836688548,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,0.75,1.0,1,0,0,0,0,1,0,1,0,0,6,6,4,,,,,,,,,,,,,,,5s,203.6858441499062,204.68630990292877,204.68059804104269,None,205.6805375739932,208.5169413050171,205.6805375739932,208.5169413050171,208.5169413050171,None,208.5169413050171,None,space,0.4194700438529253,208.5169413050171,None,2.8363,208.95378786092624,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,7,7,8,,,,,,,,,,,,,,,5s,209.9590242980048,210.95905801095068,210.95327608590014,None,211.95300678000785,214.60662682098337,211.95300678000785,214.60662682098337,214.60004784795456,None,214.60004784795456,None,space,0.40037783700972795,214.60004784795456,None,2.6449,215.0126667888835,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,1.0,0.75,1,0,0,0,0,1,0,1,0,0,8,8,1,,,,,,,,,,,,,,,5s,216.0185398189351,217.0192831349559,217.01337260589935,None,218.01331084687263,218.5161633968819,218.01331084687263,218.5161633968819,218.5161633968819,None,218.5161633968819,None,space,0.43625922896899283,218.5161633968819,None,0.5039,218.96339060389437,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,9,9,3,,,,,,,,,,,,,,,5s,219.96512518892996,220.96508408896625,220.95943079493009,None,221.95902844890952,226.7350475229323,221.95902844890952,226.7350475229323,226.7350475229323,None,226.7350475229323,None,space,0.36137212510220706,226.7350475229323,None,4.7762,227.10989061300643,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,1,0,10,0,,,,,,,,,,,,,,,5s,228.11493667797185,229.11661745002493,229.11089692800306,None,230.11000836198218,232.83640767796896,230.11000836198218,232.83640767796896,232.8299360089004,None,232.8299360089004,None,space,0.29041067184880376,232.8299360089004,None,2.7185,233.13371573598124,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,1,1,11,9,,,,,,,,,,,,,,,5s,234.13495358498767,235.13430034997873,235.12852078396827,None,236.12818838097155,239.849327767035,236.12818838097155,239.849327767035,239.842852427857,None,239.842852427857,None,space,0.38950842898339033,239.842852427857,None,3.7129,240.25395292392932,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,1,2,12,7,,,,,,,,,,,,,,,5s,241.2562502878718,242.25538413086906,242.24963739491068,None,243.24932365398854,246.04346001101658,243.24932365398854,246.04346001101658,246.04346001101658,None,246.04346001101658,None,space,0.3488970978651196,246.04346001101658,None,2.7934,246.4055437669158,None,,,,,,,001,001,2022_Mar_16_1537,2-25_cond_decay,2021.2.3,165.0077858527325,
